angle_threshold,perfect_t,great_t,good_t,Perfect,Great,Good,Miss,accuracy,recall
8,1.0,3.0,5.0,1,10,13,6,0.8,0.8
10,1.0,3.0,5.0,1,10,13,6,0.8,0.8
12,1.0,3.0,5.0,2,13,10,5,0.8333333333333334,0.8333333333333334
14,1.0,3.0,5.0,7,14,6,3,0.9,0.9
16,1.0,3.0,5.0,7,14,6,3,0.9,0.9
18,1.0,3.0,5.0,7,14,6,3,0.9,0.9
20,1.0,3.0,5.0,7,14,6,3,0.9,0.9
22,1.0,3.0,5.0,7,14,6,3,0.9,0.9
24,1.0,3.0,5.0,7,14,6,3,0.9,0.9
26,1.0,3.0,5.0,7,14,6,3,0.9,0.9
28,1.0,3.0,5.0,7,14,6,3,0.9,0.9
30,1.0,3.0,5.0,7,14,6,3,0.9,0.9
8,1.5,3.5,5.5,2,8,14,6,0.8,0.8
10,1.5,3.5,5.5,2,8,14,6,0.8,0.8
12,1.5,3.5,5.5,3,11,11,5,0.8333333333333334,0.8333333333333334
14,1.5,3.5,5.5,8,9,10,3,0.9,0.9
16,1.5,3.5,5.5,8,9,10,3,0.9,0.9
18,1.5,3.5,5.5,8,9,10,3,0.9,0.9
20,1.5,3.5,5.5,8,9,10,3,0.9,0.9
22,1.5,3.5,5.5,8,9,10,3,0.9,0.9
24,1.5,3.5,5.5,8,9,10,3,0.9,0.9
26,1.5,3.5,5.5,8,9,10,3,0.9,0.9
28,1.5,3.5,5.5,8,9,10,3,0.9,0.9
30,1.5,3.5,5.5,8,9,10,3,0.9,0.9
8,2.0,4.0,6.0,3,13,8,6,0.8,0.8
10,2.0,4.0,6.0,3,13,8,6,0.8,0.8
12,2.0,4.0,6.0,6,13,6,5,0.8333333333333334,0.8333333333333334
14,2.0,4.0,6.0,11,10,6,3,0.9,0.9
16,2.0,4.0,6.0,11,10,6,3,0.9,0.9
18,2.0,4.0,6.0,11,10,6,3,0.9,0.9
20,2.0,4.0,6.0,11,10,6,3,0.9,0.9
22,2.0,4.0,6.0,11,10,6,3,0.9,0.9
24,2.0,4.0,6.0,11,10,6,3,0.9,0.9
26,2.0,4.0,6.0,11,10,6,3,0.9,0.9
28,2.0,4.0,6.0,11,10,6,3,0.9,0.9
30,2.0,4.0,6.0,11,10,6,3,0.9,0.9
8,2.5,4.5,6.5,6,9,9,6,0.8,0.8
10,2.5,4.5,6.5,6,9,9,6,0.8,0.8
12,2.5,4.5,6.5,6,9,9,6,0.8,0.8
14,2.5,4.5,6.5,14,7,6,3,0.9,0.9
16,2.5,4.5,6.5,14,7,6,3,0.9,0.9
18,2.5,4.5,6.5,14,7,6,3,0.9,0.9
20,2.5,4.5,6.5,14,7,6,3,0.9,0.9
22,2.5,4.5,6.5,14,7,6,3,0.9,0.9
24,2.5,4.5,6.5,14,7,6,3,0.9,0.9
26,2.5,4.5,6.5,14,7,6,3,0.9,0.9
28,2.5,4.5,6.5,14,7,6,3,0.9,0.9
30,2.5,4.5,6.5,14,7,6,3,0.9,0.9
8,3.0,5.0,7.0,7,5,12,6,0.8,0.8
10,3.0,5.0,7.0,7,5,12,6,0.8,0.8
12,3.0,5.0,7.0,7,5,12,6,0.8,0.8
14,3.0,5.0,7.0,13,8,6,3,0.9,0.9
16,3.0,5.0,7.0,13,8,6,3,0.9,0.9
18,3.0,5.0,7.0,13,8,6,3,0.9,0.9
20,3.0,5.0,7.0,13,8,6,3,0.9,0.9
22,3.0,5.0,7.0,13,8,6,3,0.9,0.9
24,3.0,5.0,7.0,13,8,6,3,0.9,0.9
26,3.0,5.0,7.0,13,8,6,3,0.9,0.9
28,3.0,5.0,7.0,13,8,6,3,0.9,0.9
30,3.0,5.0,7.0,13,8,6,3,0.9,0.9
